	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
834	tt0002130	7.1	1572	Dante's Inferno	1911	68	Adventure,Drama,Fantasy
1004	tt0002844	6.9	1674	Fantômas: In the Shadow of the Guillotine	1913	54	Crime,Drama
1037	tt0003037	6.8	1144	Fantômas: Juve versus Fantômas	1913	61	Crime,Drama
1091	tt0003419	6.6	1404	The Student of Prague	1913	85	Drama,Fantasy,Horror
1140	tt0003740	6.8	2540	Cabiria	1914	148	Adventure,Drama,History
1217	tt0004181	7.3	1072	Judith of Bethulia	1914	61	Drama
1294	tt0004707	7.1	2938	Tillie's Punctured Romance	1914	82	Comedy
1329	tt0004972	6.7	19052	The Birth of a Nation	1915	195	Drama,History,War
1349	tt0005078	6.6	2014	The Cheat	1915	59	Drama
1517	tt0006206	6.9	3551	Les vampires	1915	421	Action,Adventure,Crime
1536	tt0006333	7.0	1288	20,000 Leagues Under the Sea	1916	105	Action,Adventure,Sci-Fi
1631	tt0006864	8.0	11937	Intolerance: Love's Struggle Throughout the Ages	1916	163	Drama,History
1846	tt0008443	6.8	1121	The Poor Little Rich Girl	1917	65	Comedy,Drama,Family
1883	tt0008663	7.4	1182	A Man There Was	1917	48	Drama,War
1929	tt0008879	7.2	1240	The Outlaw and His Wife	1918	136	Drama
2060	tt0009611	6.9	4669	Shoulder Arms	1918	45	Comedy,War
2069	tt0009652	7.4	1222	Stella Maris	1918	84	Drama
2110	tt0009893	7.2	1321	The Oyster Princess	1919	58	Comedy
2121	tt0009937	6.9	1137	Blind Husbands	1919	99	Drama,Romance
2124	tt0009968	7.6	7955	Broken Blossoms	1919	90	Drama,Romance
2136	tt0010040	7.5	1211	Daddy-Long-Legs	1919	85	Comedy,Drama
2144	tt0010071	7.7	1023	Don't Change Your Husband	1919	71	Comedy
2196	tt0010307	7.4	1089	J'accuse!	1919	166	Drama,Horror,War
2202	tt0010323	8.1	45657	The Cabinet of Dr. Caligari	1920	76	Fantasy,Horror,Mystery
2218	tt0010418	7.9	1533	Male and Female	1919	116	Adventure,Drama
2249	tt0010600	7.3	1325	The Doll	1919	48	Comedy,Fantasy
2284	tt0010806	7.2	1320	True Heart Susie	1919	87	Comedy,Drama,Romance
2341	tt0011130	7.0	4001	Dr. Jekyll and Mr. Hyde	1920	49	Drama,Horror,Sci-Fi
2363	tt0011237	7.2	5321	The Golem	1920	91	Fantasy,Horror
2410	tt0011439	7.2	1822	The Mark of Zorro	1920	107	Adventure,Romance,Western
2432	tt0011565	7.5	1636	The Penalty	1920	90	Crime,Drama,Horror
2450	tt0011652	6.2	1211	The Saphead	1920	77	Comedy
2484	tt0011841	7.9	4259	Way Down East	1920	145	Drama,Romance
2491	tt0011865	7.9	1226	Why Change Your Wife?	1920	90	Comedy,Drama
2493	tt0011870	6.4	1679	Within Our Gates	1920	79	Drama,Romance
2503	tt0011909	7.8	1139	The Affairs of Anatol	1921	117	Comedy,Drama
2559	tt0012190	7.9	2769	The Four Horsemen of the Apocalypse	1921	150	Drama,Romance,War
2591	tt0012349	8.3	85016	The Kid	1921	68	Comedy,Drama,Family
2596	tt0012364	8.1	7890	The Phantom Carriage	1921	100	Drama,Fantasy,Horror
2623	tt0012494	7.7	4049	Destiny	1921	114	Drama,Fantasy,Thriller
2631	tt0012532	7.8	4129	Orphans of the Storm	1921	150	Drama,History,Romance
2654	tt0012651	6.3	1070	The Haunted Castle	1921	75	Crime,Drama,Horror
2656	tt0012675	7.2	2714	The Sheik	1921	86	Adventure,Drama,Romance
2675	tt0012763	7.9	1595	Tol'able David	1921	99	Drama
2706	tt0012938	7.7	2090	Beyond the Rocks	1922	80	Drama,Romance
2711	tt0012952	7.2	1104	Blood and Sand	1922	80	Drama,Romance,Sport
2727	tt0013075	7.2	1011	Dr. Jack	1922	59	Comedy
2732	tt0013086	7.9	6022	Dr. Mabuse: The Gambler	1922	242	Crime,Mystery,Thriller
2744	tt0013140	7.3	2390	Foolish Wives	1922	117	Drama,Thriller
2752	tt0013201	7.1	1380	Grandma's Boy	1922	60	Comedy,Family
2761	tt0013257	7.7	9183	Häxan	1922	91	Documentary,Fantasy,Horror
2798	tt0013427	7.7	8904	Nanook of the North	1922	78	Documentary
2803	tt0013442	8.0	75735	Nosferatu	1922	94	Fantasy,Horror
2817	tt0013496	7.0	1257	Phantom	1922	125	Drama,Fantasy,Romance
2830	tt0013556	7.6	1716	Robin Hood	1922	143	Adventure,Family,Romance
2847	tt0013626	6.8	1551	The Smiling Madame Beudet	1923	54	Drama
2977	tt0014142	7.3	3970	The Hunchback of Notre Dame	1923	133	Drama,Horror,Romance
3026	tt0014341	7.9	8255	Our Hospitality	1923	65	Comedy,Romance,Thriller
3031	tt0014358	7.5	3365	The Pilgrim	1923	47	Comedy
